# Tiempo: 0
# Tipo Problema: CAVITY_FLOW
# i	j	x	y	u	v	p	Fx	Fy
# 51	51
# =================================
0	0	0	0	0	0	10	0	0
0	1	0	0.04	0	0	10	0	0
0	2	0	0.08	0	0	10	0	0
0	3	0	0.12	0	0	10	0	0
0	4	0	0.16	0	0	10	0	0
0	5	0	0.2	0	0	10	0	0
0	6	0	0.24	0	0	10	0	0
0	7	0	0.28	0	0	10	0	0
0	8	0	0.32	0	0	10	0	0
0	9	0	0.36	0	0	10	0	0
0	10	0	0.4	0	0	10	0	0
0	11	0	0.44	0	0	10	0	0
0	12	0	0.48	0	0	10	0	0
0	13	0	0.52	0	0	10	0	0
0	14	0	0.56	0	0	10	0	0
0	15	0	0.6	0	0	9.99999	0	0
0	16	0	0.64	0	0	9.99999	0	0
0	17	0	0.68	0	0	9.99997	0	0
0	18	0	0.72	0	0	9.99995	0	0
0	19	0	0.76	0	0	9.9999	0	0
0	20	0	0.8	0	0	9.9998	0	0
0	21	0	0.84	0	0	9.99962	0	0
0	22	0	0.88	0	0	9.99929	0	0
0	23	0	0.92	0	0	9.99872	0	0
0	24	0	0.96	0	0	9.99773	0	0
0	25	0	1	0	0	9.99606	0	0
0	26	0	1.04	0	0	9.99328	0	0
0	27	0	1.08	0	0	9.98877	0	0
0	28	0	1.12	0	0	9.98159	0	0
0	29	0	1.16	0	0	9.97043	0	0
0	30	0	1.2	0	0	9.9534	0	0
0	31	0	1.24	0	0	9.92796	0	0
0	32	0	1.28	0	0	9.89074	0	0
0	33	0	1.32	0	0	9.83736	0	0
0	34	0	1.36	0	0	9.76239	0	0
0	35	0	1.4	0	0	9.65919	0	0
0	36	0	1.44	0	0	9.51999	0	0
0	37	0	1.48	0	0	9.33598	0	0
0	38	0	1.52	0	0	9.09762	0	0
0	39	0	1.56	0	0	8.79497	0	0
0	40	0	1.6	0	0	8.41835	0	0
0	41	0	1.64	0	0	7.95895	0	0
0	42	0	1.68	0	0	7.40966	0	0
0	43	0	1.72	0	0	6.76588	0	0
0	44	0	1.76	0	0	6.02622	0	0
0	45	0	1.8	0	0	5.19312	0	0
0	46	0	1.84	0	0	4.27324	0	0
0	47	0	1.88	0	0	3.2775	0	0
0	48	0	1.92	0	0	2.22079	0	0
0	49	0	1.96	0	0	1.12139	0	0
0	50	0	2	1	0	0	0	0
1	0	0.04	0	0	0	10	0	0
1	1	0.04	0.04	6.53035e-11	6.56579e-11	10	0	0
1	2	0.04	0.08	7.15535e-11	5.35728e-11	10	0	0
1	3	0.04	0.12	7.15535e-11	6.16963e-11	10	0	0
1	4	0.04	0.16	7.15535e-11	7.39786e-11	10	0	0
1	5	0.04	0.2	7.15535e-11	9.72293e-11	10	0	0
1	6	0.04	0.24	7.15535e-11	1.48167e-10	10	0	0
1	7	0.04	0.28	7.15535e-11	2.66654e-10	10	0	0
1	8	0.04	0.32	7.15535e-11	5.45172e-10	10	0	0
1	9	0.04	0.36	7.15535e-11	1.19276e-09	10	0	0
1	10	0.04	0.4	7.15535e-11	2.67001e-09	10	0	0
1	11	0.04	0.44	7.15535e-11	5.96629e-09	10	0	0
1	12	0.04	0.48	7.15535e-11	1.3154e-08	10	0	0
1	13	0.04	0.52	7.15535e-11	2.84666e-08	10	0	0
1	14	0.04	0.56	7.15535e-11	6.03369e-08	10	0	0
1	15	0.04	0.6	7.15535e-11	1.25148e-07	9.99999	0	0
1	16	0.04	0.64	7.15535e-11	2.53938e-07	9.99999	0	0
1	17	0.04	0.68	7.15535e-11	5.04051e-07	9.99997	0	0
1	18	0.04	0.72	7.15535e-11	9.78794e-07	9.99995	0	0
1	19	0.04	0.76	7.15535e-11	1.85962e-06	9.9999	0	0
1	20	0.04	0.8	7.15535e-11	3.45725e-06	9.9998	0	0
1	21	0.04	0.84	7.15535e-11	6.2902e-06	9.99962	0	0
1	22	0.04	0.88	7.15535e-11	1.12017e-05	9.99929	0	0
1	23	0.04	0.92	7.15535e-11	1.95271e-05	9.99872	0	0
1	24	0.04	0.96	7.15536e-11	3.33262e-05	9.99773	0	0
1	25	0.04	1	7.15536e-11	5.56898e-05	9.99606	0	0
1	26	0.04	1.04	7.15536e-11	9.11288e-05	9.99328	0	0
1	27	0.04	1.08	7.15538e-11	0.00014604	9.98877	0	0
