Tiempo,     x,      u(x)
0, 0, 0
0, 0.0204082, 5.73058
0, 0.0408163, 11.3395
0, 0.0612245, 16.712
0, 0.0816327, 21.7467
0, 0.102041, 26.3598
0, 0.122449, 30.4887
0, 0.142857, 34.0923
0, 0.163265, 37.1497
0, 0.183673, 39.658
0, 0.204082, 41.6279
0, 0.22449, 43.0794
0, 0.244898, 44.0377
0, 0.265306, 44.5298
0, 0.285714, 44.5814
0, 0.306122, 44.2167
0, 0.326531, 43.4573
0, 0.346939, 42.3243
0, 0.367347, 40.8398
0, 0.387755, 39.0291
0, 0.408163, 36.923
0, 0.428571, 34.5592
0, 0.44898, 31.9834
0, 0.469388, 29.2484
0, 0.489796, 26.4131
0, 0.510204, 23.5402
0, 0.530612, 20.6926
0, 0.55102, 17.9307
0, 0.571429, 15.3084
0, 0.591837, 12.8711
0, 0.612245, 10.6529
0, 0.632653, 8.67605
0, 0.653061, 6.95083
0, 0.673469, 5.47626
0, 0.693878, 4.24183
0, 0.714286, 3.2296
0, 0.734694, 2.41653
0, 0.755102, 1.7767
0, 0.77551, 1.28339
0, 0.795918, 0.910711
0, 0.816327, 0.6348
0, 0.836735, 0.434589
0, 0.857143, 0.292158
0, 0.877551, 0.192769
0, 0.897959, 0.124661
0, 0.918367, 0.0786926
0, 0.938776, 0.0479037
0, 0.959184, 0.027049
0, 0.979592, 0.0121388
0, 1, 0
0.1, 0, 0
0.1, 0.0204082, 5.45675
0.1, 0.0408163, 10.8066
0.1, 0.0612245, 15.948
0.1, 0.0816327, 20.7898
0.1, 0.102041, 25.2547
0.1, 0.122449, 29.2822
0.1, 0.142857, 32.8291
0.1, 0.163265, 35.8694
0.1, 0.183673, 38.3922
0.1, 0.204082, 40.3993
0.1, 0.22449, 41.9021
0.1, 0.244898, 42.9182
0.1, 0.265306, 43.4692
0.1, 0.285714, 43.578
0.1, 0.306122, 43.2684
0.1, 0.326531, 42.564
0.1, 0.346939, 41.4894
0.1, 0.367347, 40.071
0.1, 0.387755, 38.338
0.1, 0.408163, 36.3243
0.1, 0.428571, 34.0689
0.1, 0.44898, 31.6163
0.1, 0.469388, 29.0166
0.1, 0.489796, 26.3235
0.1, 0.510204, 23.5932
0.1, 0.530612, 20.8817
0.1, 0.55102, 18.2423
0.1, 0.571429, 15.7231
0.1, 0.591837, 13.3651
0.1, 0.612245, 11.2
0.1, 0.632653, 9.24985
0.1, 0.653061, 7.52645
0.1, 0.673469, 6.03211
0.1, 0.693878, 4.76069
0.1, 0.714286, 3.69917
0.1, 0.734694, 2.82939
0.1, 0.755102, 2.12995
0.1, 0.77551, 1.57788
0.1, 0.795918, 1.15016
0.1, 0.816327, 0.824831
0.1, 0.836735, 0.581865
0.1, 0.857143, 0.403641
0.1, 0.877551, 0.275147
0.1, 0.897959, 0.183957
0.1, 0.918367, 0.120024
0.1, 0.938776, 0.075368
0.1, 0.959184, 0.0436911
0.1, 0.979592, 0.0199635
0.1, 1, 0
0.2, 0, 0
0.2, 0.0204082, 5.21434
0.2, 0.0408163, 10.3333
0.2, 0.0612245, 15.2659
0.2, 0.0816327, 19.9291
0.2, 0.102041, 24.2513
0.2, 0.122449, 28.1743
0.2, 0.142857, 31.6543
0.2, 0.163265, 34.662
0.2, 0.183673, 37.1812
0.2, 0.204082, 39.2074
0.2, 0.22449, 40.7456
0.2, 0.244898, 41.8078
0.2, 0.265306, 42.4109
0.2, 0.285714, 42.5754
0.2, 0.306122, 42.3239
0.2, 0.326531, 41.6808
0.2, 0.346939, 40.6725
0.2, 0.367347, 39.3276
0.2, 0.387755, 37.6778
0.2, 0.408163, 35.7584
0.2, 0.428571, 33.609
0.2, 0.44898, 31.273
0.2, 0.469388, 28.7978
0.2, 0.489796, 26.2333
0.2, 0.510204, 23.6308
0.2, 0.530612, 21.0407
0.2, 0.55102, 18.5112
0.2, 0.571429, 16.0858
0.2, 0.591837, 13.8017
0.2, 0.612245, 11.6887
