Tiempo,     x,      u(x)
0, 0, 0
0, 0.0204082, 0.00252477
0, 0.0408163, 0.00533596
0, 0.0612245, 0.00872968
0, 0.0816327, 0.0130198
0, 0.102041, 0.0185425
0, 0.122449, 0.025656
0, 0.142857, 0.034734
0, 0.163265, 0.0461514
0, 0.183673, 0.0602629
0, 0.204082, 0.0773733
0, 0.22449, 0.0977025
0, 0.244898, 0.121346
0, 0.265306, 0.148239
0, 0.285714, 0.178116
0, 0.306122, 0.210494
0, 0.326531, 0.24466
0, 0.346939, 0.279678
0, 0.367347, 0.314424
0, 0.387755, 0.347638
0, 0.408163, 0.377992
0, 0.428571, 0.40418
0, 0.44898, 0.425011
0, 0.469388, 0.439493
0, 0.489796, 0.446919
0, 0.510204, 0.446919
0, 0.530612, 0.439493
0, 0.55102, 0.425011
0, 0.571429, 0.40418
0, 0.591837, 0.377992
0, 0.612245, 0.347638
0, 0.632653, 0.314424
0, 0.653061, 0.279678
0, 0.673469, 0.24466
0, 0.693878, 0.210494
0, 0.714286, 0.178116
0, 0.734694, 0.148239
0, 0.755102, 0.121346
0, 0.77551, 0.0977025
0, 0.795918, 0.0773733
0, 0.816327, 0.0602629
0, 0.836735, 0.0461514
0, 0.857143, 0.034734
0, 0.877551, 0.025656
0, 0.897959, 0.0185425
0, 0.918367, 0.0130198
0, 0.938776, 0.00872968
0, 0.959184, 0.00533596
0, 0.979592, 0.00252477
0, 1, 0
0.1, 0, 0
0.1, 0.0204082, 0.00323641
0.1, 0.0408163, 0.00677779
0.1, 0.0612245, 0.0109349
0.1, 0.0816327, 0.0160284
0.1, 0.102041, 0.0223903
0.1, 0.122449, 0.0303602
0.1, 0.142857, 0.0402773
0.1, 0.163265, 0.0524658
0.1, 0.183673, 0.0672142
0.1, 0.204082, 0.0847495
0.1, 0.22449, 0.105208
0.1, 0.244898, 0.128606
0.1, 0.265306, 0.154808
0.1, 0.285714, 0.183505
0.1, 0.306122, 0.214201
0.1, 0.326531, 0.246211
0.1, 0.346939, 0.278674
0.1, 0.367347, 0.310586
0.1, 0.387755, 0.340844
0.1, 0.408163, 0.368307
0.1, 0.428571, 0.391869
0.1, 0.44898, 0.410528
0.1, 0.469388, 0.423461
0.1, 0.489796, 0.43008
0.1, 0.510204, 0.43008
0.1, 0.530612, 0.423461
0.1, 0.55102, 0.410528
0.1, 0.571429, 0.391869
0.1, 0.591837, 0.368307
0.1, 0.612245, 0.340844
0.1, 0.632653, 0.310586
0.1, 0.653061, 0.278674
0.1, 0.673469, 0.246211
0.1, 0.693878, 0.214201
0.1, 0.714286, 0.183505
0.1, 0.734694, 0.154808
0.1, 0.755102, 0.128606
0.1, 0.77551, 0.105208
0.1, 0.795918, 0.0847495
0.1, 0.816327, 0.0672142
0.1, 0.836735, 0.0524658
0.1, 0.857143, 0.0402773
0.1, 0.877551, 0.0303602
0.1, 0.897959, 0.0223903
0.1, 0.918367, 0.0160284
0.1, 0.938776, 0.0109349
0.1, 0.959184, 0.00677779
0.1, 0.979592, 0.00323641
0.1, 1, 0
0.2, 0, 0
0.2, 0.0204082, 0.00398173
0.2, 0.0408163, 0.00827802
0.2, 0.0612245, 0.0132057
0.2, 0.0816327, 0.0190848
0.2, 0.102041, 0.0262369
0.2, 0.122449, 0.03498
0.2, 0.142857, 0.0456186
0.2, 0.163265, 0.0584299
0.2, 0.183673, 0.0736451
0.2, 0.204082, 0.0914275
0.2, 0.22449, 0.111848
0.2, 0.244898, 0.134863
0.2, 0.265306, 0.160291
0.2, 0.285714, 0.187798
0.2, 0.306122, 0.216891
0.2, 0.326531, 0.246921
0.2, 0.346939, 0.277099
0.2, 0.367347, 0.306527
0.2, 0.387755, 0.334235
0.2, 0.408163, 0.359236
0.2, 0.428571, 0.380581
0.2, 0.44898, 0.397421
0.2, 0.469388, 0.409062
0.2, 0.489796, 0.415009
0.2, 0.510204, 0.415009
0.2, 0.530612, 0.409062
0.2, 0.55102, 0.397421
0.2, 0.571429, 0.380581
0.2, 0.591837, 0.359236
0.2, 0.612245, 0.334235
0.2, 0.632653, 0.306527
0.2, 0.653061, 0.277099
0.2, 0.673469, 0.246921
0.2, 0.693878, 0.216891
0.2, 0.714286, 0.187798
0.2, 0.734694, 0.160291
0.2, 0.755102, 0.134863
0.2, 0.77551, 0.111848
0.2, 0.795918, 0.0914275
0.2, 0.816327, 0.0736451
0.2, 0.836735, 0.0584299
0.2, 0.857143, 0.0456186
0.2, 0.877551, 0.03498
0.2, 0.897959, 0.0262369
0.2, 0.918367, 0.0190848
0.2, 0.938776, 0.0132057
0.2, 0.959184, 0.00827802
0.2, 0.979592, 0.00398173
0.2, 1, 0
0.3, 0, 0
0.3, 0.0204082, 0.00474061
0.3, 0.0408163, 0.00979764
0.3, 0.0612245, 0.0154869
0.3, 0.0816327, 0.0221217
0.3, 0.102041, 0.0300092
0.3, 0.122449, 0.0394439
0.3, 0.142857, 0.0506971
0.3, 0.163265, 0.0640041
0.3, 0.183673, 0.0795474
0.3, 0.204082, 0.0974386
0.3, 0.22449, 0.117699
0.3, 0.244898, 0.14024
0.3, 0.265306, 0.164851
0.3, 0.285714, 0.191188
0.3, 0.306122, 0.218769
0.3, 0.326531, 0.246987
0.3, 0.346939, 0.275119
0.3, 0.367347, 0.302358
0.3, 0.387755, 0.32785
0.3, 0.408163, 0.350733
0.3, 0.428571, 0.370188
0.3, 0.44898, 0.385486
0.3, 0.469388, 0.396036
0.3, 0.489796, 0.401419
0.3, 0.510204, 0.401419
0.3, 0.530612, 0.396036
0.3, 0.55102, 0.385486
0.3, 0.571429, 0.370188
0.3, 0.591837, 0.350733
0.3, 0.612245, 0.32785
0.3, 0.632653, 0.302358
0.3, 0.653061, 0.275119
0.3, 0.673469, 0.246987
0.3, 0.693878, 0.218769
0.3, 0.714286, 0.191188
0.3, 0.734694, 0.164851
0.3, 0.755102, 0.14024
0.3, 0.77551, 0.117699
0.3, 0.795918, 0.0974386
0.3, 0.816327, 0.0795474
0.3, 0.836735, 0.0640041
0.3, 0.857143, 0.0506971
0.3, 0.877551, 0.0394439
0.3, 0.897959, 0.0300092
0.3, 0.918367, 0.0221217
0.3, 0.938776, 0.0154869
0.3, 0.959184, 0.00979764
0.3, 0.979592, 0.00474061
0.3, 1, 0
0.4, 0, 0
0.4, 0.0204082, 0.00549618
0.4, 0.0408163, 0.0113044
0.4, 0.0612245, 0.0177335
0.4, 0.0816327, 0.0250859
0.4, 0.102041, 0.0336516
0.4, 0.122449, 0.0437007
0.4, 0.142857, 0.0554739
0.4, 0.163265, 0.0691694
0.4, 0.183673, 0.0849292
0.4, 0.204082, 0.102823
0.4, 0.22449, 0.122835
0.4, 0.244898, 0.144845
0.4, 0.265306, 0.168626
0.4, 0.285714, 0.193831
0.4, 0.306122, 0.219997
0.4, 0.326531, 0.246558
0.4, 0.346939, 0.272852
0.4, 0.367347, 0.298155
0.4, 0.387755, 0.321708
0.4, 0.408163, 0.342754
0.4, 0.428571, 0.360581
0.4, 0.44898, 0.374559
0.4, 0.469388, 0.384178
0.4, 0.489796, 0.389081
0.4, 0.510204, 0.389081
0.4, 0.530612, 0.384178
0.4, 0.55102, 0.374559
0.4, 0.571429, 0.360581
0.4, 0.591837, 0.342754
0.4, 0.612245, 0.321708
0.4, 0.632653, 0.298155
0.4, 0.653061, 0.272852
0.4, 0.673469, 0.246558
0.4, 0.693878, 0.219997
0.4, 0.714286, 0.193831
0.4, 0.734694, 0.168626
0.4, 0.755102, 0.144845
0.4, 0.77551, 0.122835
0.4, 0.795918, 0.102823
0.4, 0.816327, 0.0849292
0.4, 0.836735, 0.0691694
0.4, 0.857143, 0.0554739
0.4, 0.877551, 0.0437007
0.4, 0.897959, 0.0336516
0.4, 0.918367, 0.0250859
0.4, 0.938776, 0.0177335
0.4, 0.959184, 0.0113044
0.4, 0.979592, 0.00549618
0.4, 1, 0
0.5, 0, 0
0.5, 0.0204082, 0.00623501
0.5, 0.0408163, 0.0127727
0.5, 0.0612245, 0.0199109
0.5, 0.0816327, 0.0279375
0.5, 0.102041, 0.0371237
0.5, 0.122449, 0.047716
0.5, 0.142857, 0.0599264
0.5, 0.163265, 0.0739213
0.5, 0.183673, 0.0898088
0.5, 0.204082, 0.107626
0.5, 0.22449, 0.127328
0.5, 0.244898, 0.148776
0.5, 0.265306, 0.171731
0.5, 0.285714, 0.195852
0.5, 0.306122, 0.220701
0.5, 0.326531, 0.245746
0.5, 0.346939, 0.270386
0.5, 0.367347, 0.293967
0.5, 0.387755, 0.315813
0.5, 0.408163, 0.335255
0.5, 0.428571, 0.351669
0.5, 0.44898, 0.364507
0.5, 0.469388, 0.373325
0.5, 0.489796, 0.377814
0.5, 0.510204, 0.377814
0.5, 0.530612, 0.373325
0.5, 0.55102, 0.364507
0.5, 0.571429, 0.351669
0.5, 0.591837, 0.335255
0.5, 0.612245, 0.315813
0.5, 0.632653, 0.293967
0.5, 0.653061, 0.270386
0.5, 0.673469, 0.245746
0.5, 0.693878, 0.220701
0.5, 0.714286, 0.195852
0.5, 0.734694, 0.171731
0.5, 0.755102, 0.148776
0.5, 0.77551, 0.127328
0.5, 0.795918, 0.107626
0.5, 0.816327, 0.0898088
0.5, 0.836735, 0.0739213
0.5, 0.857143, 0.0599264
0.5, 0.877551, 0.047716
0.5, 0.897959, 0.0371237
0.5, 0.918367, 0.0279375
0.5, 0.938776, 0.0199109
0.5, 0.959184, 0.0127727
0.5, 0.979592, 0.00623501
0.5, 1, 0
0.6, 0, 0
0.6, 0.0204082, 0.00694687
0.6, 0.0408163, 0.0141834
0.6, 0.0612245, 0.0219933
0.6, 0.0816327, 0.0306478
0.6, 0.102041, 0.0403983
0.6, 0.122449, 0.0514685
0.6, 0.142857, 0.0640446
0.6, 0.163265, 0.0782651
0.6, 0.183673, 0.0942105
0.6, 0.204082, 0.111892
0.6, 0.22449, 0.131245
0.6, 0.244898, 0.152115
0.6, 0.265306, 0.174263
0.6, 0.285714, 0.197356
0.6, 0.306122, 0.220978
0.6, 0.326531, 0.244639
0.6, 0.346939, 0.267786
0.6, 0.367347, 0.28983
0.6, 0.387755, 0.310164
0.6, 0.408163, 0.328196
0.6, 0.428571, 0.343374
0.6, 0.44898, 0.355218
0.6, 0.469388, 0.363341
0.6, 0.489796, 0.367471
0.6, 0.510204, 0.367471
0.6, 0.530612, 0.363341
0.6, 0.55102, 0.355218
0.6, 0.571429, 0.343374
0.6, 0.591837, 0.328196
0.6, 0.612245, 0.310164
0.6, 0.632653, 0.28983
0.6, 0.653061, 0.267786
0.6, 0.673469, 0.244639
0.6, 0.693878, 0.220978
0.6, 0.714286, 0.197356
0.6, 0.734694, 0.174263
0.6, 0.755102, 0.152115
0.6, 0.77551, 0.131245
0.6, 0.795918, 0.111892
0.6, 0.816327, 0.0942105
0.6, 0.836735, 0.0782651
0.6, 0.857143, 0.0640446
0.6, 0.877551, 0.0514685
0.6, 0.897959, 0.0403983
0.6, 0.918367, 0.0306478
0.6, 0.938776, 0.0219933
0.6, 0.959184, 0.0141834
0.6, 0.979592, 0.00694687
0.6, 1, 0
0.7, 0, 0
0.7, 0.0204082, 0.00762436
0.7, 0.0408163, 0.0155229
0.7, 0.0612245, 0.0239628
0.7, 0.0816327, 0.0331975
0.7, 0.102041, 0.0434586
0.7, 0.122449, 0.0549476
0.7, 0.142857, 0.0678275
0.7, 0.163265, 0.0822131
0.7, 0.183673, 0.0981619
0.7, 0.204082, 0.115666
0.7, 0.22449, 0.134643
0.7, 0.244898, 0.154935
0.7, 0.265306, 0.176302
0.7, 0.285714, 0.198424
0.7, 0.306122, 0.22091
0.7, 0.326531, 0.243303
0.7, 0.346939, 0.2651
0.7, 0.367347, 0.285764
0.7, 0.387755, 0.304753
0.7, 0.408163, 0.321538
0.7, 0.428571, 0.335629
0.7, 0.44898, 0.346602
0.7, 0.469388, 0.354116
0.7, 0.489796, 0.357934
0.7, 0.510204, 0.357934
0.7, 0.530612, 0.354116
0.7, 0.55102, 0.346602
0.7, 0.571429, 0.335629
0.7, 0.591837, 0.321538
0.7, 0.612245, 0.304753
0.7, 0.632653, 0.285764
0.7, 0.653061, 0.2651
0.7, 0.673469, 0.243303
0.7, 0.693878, 0.22091
0.7, 0.714286, 0.198424
0.7, 0.734694, 0.176302
0.7, 0.755102, 0.154935
0.7, 0.77551, 0.134643
0.7, 0.795918, 0.115666
0.7, 0.816327, 0.0981619
0.7, 0.836735, 0.0822131
0.7, 0.857143, 0.0678275
0.7, 0.877551, 0.0549476
0.7, 0.897959, 0.0434586
0.7, 0.918367, 0.0331975
