Tiempo,     x,      u(x)
0, 0, 0
0, 0.0204082, 0.0096087
0, 0.0408163, 0.0211219
0, 0.0612245, 0.036646
0, 0.0816327, 0.0586845
0, 0.102041, 0.0903131
0, 0.122449, 0.135321
0, 0.142857, 0.198294
0, 0.163265, 0.284605
0, 0.183673, 0.400289
0, 0.204082, 0.551755
0, 0.22449, 0.745327
0, 0.244898, 0.986605
0, 0.265306, 1.27967
0, 0.285714, 1.62618
0, 0.306122, 2.02452
0, 0.326531, 2.469
0, 0.346939, 2.9494
0, 0.367347, 3.45091
0, 0.387755, 3.95451
0, 0.408163, 4.43802
0, 0.428571, 4.87757
0, 0.44898, 5.24953
0, 0.469388, 5.53256
0, 0.489796, 5.70971
0, 0.510204, 5.77002
0, 0.530612, 5.70971
0, 0.55102, 5.53256
0, 0.571429, 5.24953
0, 0.591837, 4.87757
0, 0.612245, 4.43802
0, 0.632653, 3.95451
0, 0.653061, 3.45091
0, 0.673469, 2.9494
0, 0.693878, 2.469
0, 0.714286, 2.02451
0, 0.734694, 1.62618
0, 0.755102, 1.27966
0, 0.77551, 0.986588
0, 0.795918, 0.745293
0, 0.816327, 0.551689
0, 0.836735, 0.400166
0, 0.857143, 0.284378
0, 0.877551, 0.197883
0, 0.897959, 0.134592
0, 0.918367, 0.0890432
0, 0.938776, 0.0565146
0, 0.959184, 0.0330107
0, 0.979592, 0.0151517
0, 1, 0
0.1, 0, 0
0.1, 0.0204082, 0.0147372
0.1, 0.0408163, 0.031836
0.1, 0.0612245, 0.0538342
0.1, 0.0816327, 0.0836079
0.1, 0.102041, 0.124506
0.1, 0.122449, 0.180435
0.1, 0.142857, 0.25588
0.1, 0.163265, 0.35583
0.1, 0.183673, 0.485592
0.1, 0.204082, 0.650479
0.1, 0.22449, 0.855361
0.1, 0.244898, 1.1041
0.1, 0.265306, 1.39891
0.1, 0.285714, 1.73964
0.1, 0.306122, 2.12323
0.1, 0.326531, 2.54317
0.1, 0.346939, 2.98929
0.1, 0.367347, 3.44791
0.1, 0.387755, 3.90227
0.1, 0.408163, 4.33349
0.1, 0.428571, 4.72173
0.1, 0.44898, 5.04772
0.1, 0.469388, 5.29435
0.1, 0.489796, 5.44811
0.1, 0.510204, 5.50036
0.1, 0.530612, 5.44811
0.1, 0.55102, 5.29435
0.1, 0.571429, 5.04772
0.1, 0.591837, 4.72173
0.1, 0.612245, 4.33349
0.1, 0.632653, 3.90227
0.1, 0.653061, 3.44791
0.1, 0.673469, 2.98929
0.1, 0.693878, 2.54316
0.1, 0.714286, 2.12323
0.1, 0.734694, 1.73963
0.1, 0.755102, 1.39888
0.1, 0.77551, 1.10405
0.1, 0.795918, 0.855275
0.1, 0.816327, 0.650322
0.1, 0.836735, 0.485313
0.1, 0.857143, 0.355342
0.1, 0.877551, 0.255042
0.1, 0.897959, 0.179021
0.1, 0.918367, 0.122162
0.1, 0.938776, 0.079792
0.1, 0.959184, 0.0477347
0.1, 0.979592, 0.0222655
0.1, 1, 0
0.2, 0, 0
0.2, 0.0204082, 0.0208776
0.2, 0.0408163, 0.0444977
0.2, 0.0612245, 0.0737425
0.2, 0.0816327, 0.111757
0.2, 0.102041, 0.162042
0.2, 0.122449, 0.228488
0.2, 0.142857, 0.315353
0.2, 0.163265, 0.427148
0.2, 0.183673, 0.568426
0.2, 0.204082, 0.743472
0.2, 0.22449, 0.955902
0.2, 0.244898, 1.20818
