Tiempo,     x,      u(x)
0, 0, 0
0, 0.0204082, 2.29709
0, 0.0408163, 4.54661
0, 0.0612245, 6.70397
0, 0.0816327, 8.73014
0, 0.102041, 10.5938
0, 0.122449, 12.2726
0, 0.142857, 13.7538
0, 0.163265, 15.0337
0, 0.183673, 16.1171
0, 0.204082, 17.0154
0, 0.22449, 17.7451
0, 0.244898, 18.3258
0, 0.265306, 18.7785
0, 0.285714, 19.1244
0, 0.306122, 19.3834
0, 0.326531, 19.5734
0, 0.346939, 19.7101
0, 0.367347, 19.8063
0, 0.387755, 19.8728
0, 0.408163, 19.9176
0, 0.428571, 19.9471
0, 0.44898, 19.9656
0, 0.469388, 19.9764
0, 0.489796, 19.9813
0, 0.510204, 19.9813
0, 0.530612, 19.9764
0, 0.55102, 19.9656
0, 0.571429, 19.9471
0, 0.591837, 19.9176
0, 0.612245, 19.8728
0, 0.632653, 19.8063
0, 0.653061, 19.7101
0, 0.673469, 19.5734
0, 0.693878, 19.3834
0, 0.714286, 19.1244
0, 0.734694, 18.7785
0, 0.755102, 18.3258
0, 0.77551, 17.7451
0, 0.795918, 17.0154
0, 0.816327, 16.1171
0, 0.836735, 15.0337
0, 0.857143, 13.7538
0, 0.877551, 12.2726
0, 0.897959, 10.5938
0, 0.918367, 8.73014
0, 0.938776, 6.70397
0, 0.959184, 4.54661
0, 0.979592, 2.29709
0, 1, 0
0.1, 0, 0
0.1, 0.0204082, 2.19068
0.1, 0.0408163, 4.34011
0.1, 0.0612245, 6.40936
0.1, 0.0816327, 8.36393
0.1, 0.102041, 10.1755
0.1, 0.122449, 11.8229
0.1, 0.142857, 13.2931
0.1, 0.163265, 14.5805
0.1, 0.183673, 15.6868
0.1, 0.204082, 16.6198
0.1, 0.22449, 17.392
0.1, 0.244898, 18.0193
0.1, 0.265306, 18.5194
0.1, 0.285714, 18.9109
0.1, 0.306122, 19.2116
0.1, 0.326531, 19.4384
0.1, 0.346939, 19.6064
0.1, 0.367347, 19.7283
0.1, 0.387755, 19.8152
0.1, 0.408163, 19.8758
0.1, 0.428571, 19.9168
0.1, 0.44898, 19.9434
0.1, 0.469388, 19.9593
0.1, 0.489796, 19.9667
0.1, 0.510204, 19.9667
0.1, 0.530612, 19.9593
0.1, 0.55102, 19.9434
0.1, 0.571429, 19.9168
0.1, 0.591837, 19.8758
0.1, 0.612245, 19.8152
0.1, 0.632653, 19.7283
0.1, 0.653061, 19.6064
0.1, 0.673469, 19.4384
0.1, 0.693878, 19.2116
0.1, 0.714286, 18.9109
0.1, 0.734694, 18.5194
0.1, 0.755102, 18.0193
0.1, 0.77551, 17.392
0.1, 0.795918, 16.6198
0.1, 0.816327, 15.6868
0.1, 0.836735, 14.5805
0.1, 0.857143, 13.2931
0.1, 0.877551, 11.8229
0.1, 0.897959, 10.1755
0.1, 0.918367, 8.36393
0.1, 0.938776, 6.40936
0.1, 0.959184, 4.34011
0.1, 0.979592, 2.19068
0.1, 1, 0
0.2, 0, 0
0.2, 0.0204082, 2.09782
0.2, 0.0408163, 4.1594
0.2, 0.0612245, 6.1504
0.2, 0.0816327, 8.04005
0.2, 0.102041, 9.80258
0.2, 0.122449, 11.4182
0.2, 0.142857, 12.8737
0.2, 0.163265, 14.1625
0.2, 0.183673, 15.284
0.2, 0.204082, 16.2433
0.2, 0.22449, 17.0498
0.2, 0.244898, 17.7163
0.2, 0.265306, 18.2578
0.2, 0.285714, 18.6902
0.2, 0.306122, 19.0296
0.2, 0.326531, 19.2916
0.2, 0.346939, 19.4903
0.2, 0.367347, 19.6384
0.2, 0.387755, 19.7466
0.2, 0.408163, 19.8241
0.2, 0.428571, 19.8779
0.2, 0.44898, 19.9137
0.2, 0.469388, 19.9354
0.2, 0.489796, 19.9456
0.2, 0.510204, 19.9456
0.2, 0.530612, 19.9354
0.2, 0.55102, 19.9137
0.2, 0.571429, 19.8779
0.2, 0.591837, 19.8241
0.2, 0.612245, 19.7466
0.2, 0.632653, 19.6384
0.2, 0.653061, 19.4903
0.2, 0.673469, 19.2916
0.2, 0.693878, 19.0296
0.2, 0.714286, 18.6902
0.2, 0.734694, 18.2578
0.2, 0.755102, 17.7163
0.2, 0.77551, 17.0498
0.2, 0.795918, 16.2433
0.2, 0.816327, 15.284
0.2, 0.836735, 14.1625
0.2, 0.857143, 12.8737
0.2, 0.877551, 11.4182
0.2, 0.897959, 9.80258
0.2, 0.918367, 8.04005
0.2, 0.938776, 6.1504
0.2, 0.959184, 4.1594
0.2, 0.979592, 2.09782
0.2, 1, 0
0.3, 0, 0
0.3, 0.0204082, 2.01584
0.3, 0.0408163, 3.99953
0.3, 0.0612245, 5.92046
0.3, 0.0816327, 7.75097
0.3, 0.102041, 9.46753
0.3, 0.122449, 11.0516
0.3, 0.142857, 12.4902
0.3, 0.163265, 13.776
0.3, 0.183673, 14.9069
0.3, 0.204082, 15.8859
0.3, 0.22449, 16.7199
0.3, 0.244898, 17.4194
0.3, 0.265306, 17.9966
0.3, 0.285714, 18.4655
0.3, 0.306122, 18.8405
